# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "2",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (X) [cm], DOSE [MeV/g/prim]
-0.6950000000000001, 2.236985461841802
-0.685, 2.190491843432353
-0.675, 2.1750848031732013
-0.665, 2.0811754783979466
-0.655, 2.099732210899141
-0.645, 2.0976708455514776
-0.635, 2.081466423855622
-0.625, 2.054934230083617
-0.615, 2.002144857221722
-0.605, 1.9362114169355429
-0.595, 1.9548487275968616
-0.585, 1.9508909084853774
-0.5750000000000002, 1.947050149330178
-0.5650000000000002, 1.9078790637457679
-0.5550000000000002, 1.9264761271179034
-0.5450000000000002, 1.8663264996169644
-0.5350000000000001, 1.8429157836328505
-0.5250000000000001, 1.831678874414163
-0.5150000000000001, 1.8187501116290687
-0.5050000000000001, 1.796091343607602
-0.4950000000000001, 1.7861149814455985
-0.4849999999999999, 1.7709462551169997
-0.4750000000000001, 1.7463086638279468
-0.46499999999999986, 1.7033118844970183
-0.45500000000000007, 1.7314665386094688
-0.4450000000000003, 1.7205492051293638
-0.43500000000000005, 1.6889593188635161
-0.42500000000000027, 1.6936394075764285
-0.41500000000000004, 1.6554958972163807
-0.40500000000000025, 1.6607541987247099
-0.395, 1.665915470012877
-0.38500000000000023, 1.627105604758319
-0.375, 1.62439957287734
-0.3650000000000002, 1.622399621678317
-0.355, 1.6249233169121875
-0.3450000000000002, 1.5874546711816844
-0.33499999999999996, 1.608420899520662
-0.3250000000000002, 1.560515096621057
-0.31499999999999995, 1.571193222112732
-0.30500000000000016, 1.582132535503171
-0.29499999999999993, 1.5383197833522217
-0.28500000000000014, 1.5392874583314764
-0.2749999999999999, 1.5382227840892264
-0.2650000000000001, 1.535485235196712
-0.2549999999999999, 1.532427444028723
-0.2450000000000001, 1.5300824337446741
-0.23499999999999988, 1.4641442641745317
-0.2250000000000001, 1.490124001478275
-0.21499999999999986, 1.5038139363733083
-0.20500000000000007, 1.463514358513058
-0.19499999999999984, 1.4802023020811623
-0.18500000000000005, 1.4794594635402025
-0.17500000000000027, 1.4542068579183953
-0.16500000000000004, 1.43556179708887
-0.15500000000000025, 1.3962462515113565
-0.14500000000000002, 1.4272938379421443
-0.13500000000000023, 1.4269101373063637
-0.125, 1.4336747088108874
-0.11500000000000021, 1.4393304732508096
-0.10499999999999998, 1.40704382196588
-0.0950000000000002, 1.3870718325688063
-0.08499999999999996, 1.3718437943344324
-0.07500000000000018, 1.4034929202247273
-0.06499999999999995, 1.34305848360416
-0.05500000000000016, 1.3875025967892245
-0.04499999999999993, 1.3833634048254198
-0.03500000000000014, 1.3295586533490218
-0.02499999999999991, 1.3447928308797443
-0.015000000000000124, 1.362778520996813
-0.004999999999999893, 1.341307507097359
0.004999999999999893, 1.3328983332687891
0.015000000000000124, 1.3366299780414248
0.02499999999999991, 1.3236009250500975
