# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "8",
#    "detectorUnit": "MeV",
#    "dettyp": "AVG-ENERGY",
#    "name": "AVG-ENERGY",
#    "pageDiffUnits": "MeV",
#    "pageFilterName": "Protons",
#    "pageNormalized": "3",
#    "pageNumber": "1",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[70 70 70]",
#    "unit": "MeV"
#}
# --------------------------------
Position (X) [cm], AVG-ENERGY [MeV]
-1.145, 6.686715202741651
-1.135, 6.660861060834562
-1.125, 6.717785473648261
-1.115, 6.654551764240991
-1.105, 6.7046077523348515
-1.095, 6.7913058958378745
-1.0850000000000002, 6.845183967901037
-1.0750000000000002, 6.935487420812592
-1.0650000000000002, 7.129798948112263
-1.0550000000000002, 7.134107184003014
-1.0450000000000002, 7.268840585124289
-1.0350000000000001, 7.472040784239433
-1.0250000000000001, 7.61567676906257
-1.0150000000000001, 7.751138448934701
-1.0050000000000001, 7.986910783963112
-0.9950000000000001, 8.229191807205572
-0.9850000000000001, 8.438968305792303
-0.9750000000000001, 8.671274290166453
-0.9650000000000001, 8.942792147496654
-0.9550000000000001, 9.176817259317533
-0.9450000000000001, 9.359197436911412
-0.935, 9.703408732024327
-0.925, 9.929993642698232
-0.915, 10.307720098996695
-0.905, 10.611656795038046
-0.895, 10.910276395379379
-0.885, 11.262257796299172
-0.875, 11.553936643962212
-0.865, 11.938289507385758
-0.855, 12.313737209604456
-0.845, 12.614710969842381
-0.835, 13.110908612624243
-0.8250000000000002, 13.419256602891721
-0.8150000000000002, 13.848149795713244
-0.8050000000000002, 14.142085596206567
-0.7950000000000002, 14.574740274169269
-0.7850000000000001, 14.93890096552155
-0.7750000000000001, 15.234182519277324
-0.7650000000000001, 15.642614251374592
-0.7550000000000001, 16.02958161692902
-0.7450000000000001, 16.32550022228192
-0.7350000000000001, 16.666354147261806
-0.7250000000000001, 17.074945198083153
