# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "2",
#    "detectorUnit": "/cm^2",
#    "dettyp": "FLUENCE",
#    "name": "FLUENCE",
#    "pageDiffUnits": "/cm^2",
#    "pageNormalized": "2",
#    "pageNumber": "0",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[14 14 14]",
#    "unit": "/cm^2/prim"
#}
# --------------------------------
Position (X) [cm], FLUENCE [/cm^2/prim]
1.3449999999999998, 0.08208380931915941
1.355, 0.08047660454770524
1.3649999999999998, 0.08059380239123622
1.375, 0.08064012996044592
1.3849999999999998, 0.0807864088992237
1.395, 0.07997407834051129
1.4049999999999998, 0.07972652748398021
1.415, 0.08058786542198466
1.4249999999999998, 0.0803560113436329
1.435, 0.08135571675126523
1.4449999999999998, 0.07937180078750825
1.455, 0.08119584901569017
1.4649999999999999, 0.08091603038957665
1.475, 0.08126811328023706
1.4849999999999999, 0.08018943045364468
1.495, 0.08041023659534467
1.505, 0.08026117957785299
1.5149999999999997, 0.0799961574817162
1.5250000000000004, 0.08070681521884636
1.5350000000000001, 0.08113355173201649
1.545, 0.07947677793483779
1.5549999999999997, 0.07891000974649895
1.5650000000000004, 0.08025039986710761
1.5750000000000002, 0.07960777438794898
1.585, 0.07993526536738023
1.5949999999999998, 0.08023811070650662
1.6049999999999995, 0.081378176422956
1.6150000000000002, 0.08149850680700407
1.625, 0.08063493073008017
1.6349999999999998, 0.08126648745245323
1.6449999999999996, 0.08102402561773259
1.6550000000000002, 0.07977329309421934
1.665, 0.08056001200296903
1.6749999999999998, 0.0791043607713827
1.6849999999999996, 0.07967125572119234
1.6950000000000003, 0.08032886062751575
1.705, 0.07984421467229044
1.7149999999999999, 0.08025904314683636
1.7249999999999996, 0.07990112347581597
1.7350000000000003, 0.07951978944266928
1.745, 0.08060417980946118
1.755, 0.08060550035843868
1.7649999999999997, 0.0791240210283953
1.7750000000000004, 0.08204289817176239
1.7850000000000001, 0.0804075721839914
1.795, 0.08006680187986956
1.8049999999999997, 0.0805012764563277
1.8150000000000004, 0.07866320164171976
1.8250000000000002, 0.07915453379208277
1.835, 0.08180393031754754
1.8449999999999998, 0.08015929931810717
1.8550000000000004, 0.08039227593418519
1.8650000000000002, 0.08017642504667713
1.875, 0.08029450594829134
1.8849999999999998, 0.08048920433128455
1.8949999999999996, 0.07982079935944088
1.9050000000000002, 0.08056355242201514
1.915, 0.07930718019049025
1.9249999999999998, 0.07996679321761523
1.9349999999999996, 0.07972558028960619
1.9450000000000003, 0.07398328092629547
1.955, 0.06826162521618563
1.9649999999999999, 0.05910468042249356
1.9749999999999996, 0.05035144830124111
1.9850000000000003, 0.03945043007853418
1.995, 0.021464605703973745
2.005, 0.00038484336465724917
2.0149999999999997, 0.00034323845079792725
2.0250000000000004, 0.0003320525982376464
2.035, 0.0003181019214901079
2.045, 0.0003073540621481209
2.0549999999999997, 0.00031798929371280074
2.0650000000000004, 0.00030941197785744866
2.075, 0.0003296967309348882
2.085, 0.00028663904995835683
2.0949999999999998, 0.0002656748004390496
2.1050000000000004, 0.00026105023190950297
2.115, 0.0002575082449794942
2.125, 0.00025261211575801996
2.135, 0.000248180318754331
2.1449999999999996, 0.00023655167283766988
2.1550000000000002, 0.0002292597916725041
2.165, 0.0002245208453096966
2.175, 0.0002266606149545301
2.1849999999999996, 0.00022859442149528693
2.1950000000000003, 0.00023031487270545626
2.205, 0.00023499365494259944
2.215, 0.00024276412425358883
2.2249999999999996, 0.0002472593563242137
2.2350000000000003, 0.00023725918966135896
2.245, 0.0002516971433618661
2.255, 0.0002476218105348173
2.2649999999999997, 0.0002412089700196023
2.2750000000000004, 0.0002652097151261425
2.285, 0.00027088667343201547
2.295, 0.0002547421245414741
2.3049999999999997, 0.0002503438578391284
2.3150000000000004, 0.000248598926028002
2.325, 0.0002450954862741439
2.335, 0.0002278280721056927
2.3449999999999998, 0.00022961877562854821
2.3550000000000004, 0.00021529021681751696
2.365, 0.00019191495618869336
2.375, 0.0001905794291131438
2.385, 0.0002071392475317154
2.3949999999999996, 0.000214508981128104
2.4050000000000002, 0.00020832651846851923
2.415, 0.0002058487881809944
2.425, 0.00021213282255176034
2.4349999999999996, 0.00021497094854252595
2.4450000000000003, 0.0002256955341813207
2.455, 0.00023160257158633406
2.465, 0.00021816202590136438
2.4749999999999996, 0.00020467645434297315
2.4850000000000003, 0.0002039256207025492
2.495, 0.00019972963980354283
