# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "0",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (Z) [cm], DOSE [MeV/g/prim]
2.3619999999999997, 0.7078939631905449
2.3659999999999997, 0.7021134688554841
2.3699999999999997, 0.6953249968749665
2.3739999999999997, 0.6962951771558481
2.3779999999999997, 0.7001065537446541
2.3819999999999997, 0.6992702270431491
2.3859999999999997, 0.6938716055703119
2.3899999999999997, 0.6933717265931832
2.3939999999999997, 0.6921701405028357
2.3979999999999997, 0.6937815186243597
2.4019999999999997, 0.7122551099177905
2.4059999999999997, 0.7106692786189888
2.4099999999999997, 0.7128370647955452
2.4139999999999997, 0.7079484938689836
2.4179999999999997, 0.7075176575063551
2.4219999999999997, 0.7132115550966664
2.4259999999999997, 0.7118966714144567
2.4299999999999997, 0.7143917272435661
2.4339999999999997, 0.7089108808994217
2.4379999999999997, 0.7134703774106826
2.4419999999999997, 0.7202779010802014
2.4459999999999997, 0.718048434369288
2.4499999999999997, 0.719504610219471
2.4539999999999997, 0.722973821621289
2.4579999999999997, 0.7245722241863904
2.4619999999999997, 0.7232421027084596
2.4659999999999997, 0.7256777958911366
2.4699999999999998, 0.7306748907506493
2.4739999999999998, 0.7346152928330361
2.4779999999999998, 0.73842518073841
2.4819999999999998, 0.7543441589079962
2.4859999999999998, 0.7524823172553702
2.4899999999999998, 0.7454730720271984
2.4939999999999998, 0.7424167282320647
2.4979999999999998, 0.7425200476464657
2.502, 0.7492005719462481
2.506, 0.7460859425973907
2.51, 0.7536760660422671
2.514, 0.7505582139159357
2.518, 0.7507530807538622
2.522, 0.755092110536746
2.526, 0.7529232991501963
2.53, 0.7644577176032128
2.534, 0.7672362405771583
2.538, 0.7688155495972785
2.542, 0.7680217743217861
2.546, 0.7659502825998197
2.55, 0.7672082914161357
2.554, 0.7683565954639827
2.558, 0.7714791223155105
2.562, 0.7772401875877818
2.566, 0.7746244346219167
2.57, 0.7803324744783816
2.574, 0.783169861223376
2.578, 0.785319278858318
2.582, 0.7878653353524799
2.586, 0.7914861388803417
2.59, 0.7900891583291693
2.594, 0.7988522496805509
2.598, 0.7984861639081181
2.602, 0.7959870959509809
2.606, 0.7968107964078798
2.61, 0.811615248512256
2.614, 0.8086817958189526
2.618, 0.8091138344220651
2.622, 0.8134713381721123
2.626, 0.8164334482880075
2.63, 0.8198236688129984
2.634, 0.8172099602469256
2.638, 0.8184742538356364
2.642, 0.8206957484221863
2.646, 0.8262984140936737
2.65, 0.8263417675651309
2.654, 0.8311124737391268
2.658, 0.8380982202873622
2.662, 0.8423720314420357
2.666, 0.8420676942362316
2.67, 0.8421828053290543
2.674, 0.8444797168655527
2.678, 0.8493573322794988
2.682, 0.8578453548373148
2.686, 0.8532294273167522
2.69, 0.8563441381776109
2.694, 0.8622920763173841
2.698, 0.8686791081542771
2.702, 0.8659561829776848
2.706, 0.8787902186969507
2.71, 0.8771759407749923
2.714, 0.8771309590761207
2.718, 0.8819882828959045
2.722, 0.8839477429825157
2.726, 0.8971022332815236
